id	filename	md5	size	state
5a831d02-2e1e-4fbb-856c-fe67b4b941e7	5a831d02-2e1e-4fbb-856c-fe67b4b941e7/nationwidechildrens.org_biospecimen.TCGA-DD-A4NA.xml	d643e2f6ef6096478b2701a8c302ce63	61785	validated
5ae68bc0-af3c-4a12-b58c-329f8528bcfb	5ae68bc0-af3c-4a12-b58c-329f8528bcfb/nationwidechildrens.org_biospecimen.TCGA-DD-A3A3.xml	f081d86058023793bf5a8d721e263e80	72694	validated
5b2de1c3-0641-40a1-82e9-6b4eff24246b	5b2de1c3-0641-40a1-82e9-6b4eff24246b/nationwidechildrens.org_biospecimen.TCGA-DD-AACP.xml	a3ff3b5f2cf7cd2c6da93a522e88f9e0	41520	validated
5bbc675d-d398-478a-8908-f11c9b2a56eb	5bbc675d-d398-478a-8908-f11c9b2a56eb/nationwidechildrens.org_biospecimen.TCGA-DD-A39Y.xml	8f5abb4a3f4a225f22af16a071067c1b	61786	validated
5c29afbb-495f-4e8e-863a-048d9d494173	5c29afbb-495f-4e8e-863a-048d9d494173/nationwidechildrens.org_biospecimen.TCGA-G3-A7M9.xml	47b0a40b3f26c0e91e4599bdbccdfc37	53957	validated
5c2e2dd0-8574-4091-bc54-f308029e934c	5c2e2dd0-8574-4091-bc54-f308029e934c/nationwidechildrens.org_biospecimen.TCGA-DD-AADG.xml	85b087cbe868f6ceafe738f3e05a1618	41517	validated
5dbfc3d4-3b2e-49e3-94ac-54174a65bd77	5dbfc3d4-3b2e-49e3-94ac-54174a65bd77/nationwidechildrens.org_biospecimen.TCGA-DD-A11B.xml	86c1f4a2905603a8c27b52e1a90449f0	103617	validated
5f01ea63-d2d2-4955-b6ef-c7866618969e	5f01ea63-d2d2-4955-b6ef-c7866618969e/nationwidechildrens.org_biospecimen.TCGA-DD-AACM.xml	40a342a91564807d6169ecbc665a6a9f	43981	validated
602de519-ba59-4319-8a6e-80136c5d1e3a	602de519-ba59-4319-8a6e-80136c5d1e3a/nationwidechildrens.org_biospecimen.TCGA-CC-5264.xml	c2fb0f5e93a46e64aceb14abcfdbc8da	58994	validated
63707414-0a82-453c-bbc7-18361a6613b6	63707414-0a82-453c-bbc7-18361a6613b6/nationwidechildrens.org_biospecimen.TCGA-DD-AADE.xml	aa42b5d2fd5fbf054fb1dd4fa7431e53	43978	validated
